Name,SMILES,Molecular weight,SLogP,TPSA,Rings
MOSES 1,Fc1c(cc(cc1)Cn1c(C)cc(n1)C)Br,283.144,3.44984,17.82,2
MOSES 2,C(C(C)(CO)C)(c1ccc(cc1)S(=O)(N)=O)c1ccccc1,319.426,2.4844,80.39,2
MOSES 3,c12OCOc2ccc(c1)OCCN1Cc2nn(C)c(n2CC1)=O,318.333,0.2051,70.75,4
MOSES 4,c1cccc2OC(COc12)C(=O)Nc1ccc(C)cc1,269.3,2.77352,47.56,3
MOSES 5,CC(C)(C)c1nc(no1)COc1cc2OCC(=O)Nc2cc1,303.318,2.277,86.48,3
MOSES 6,c1cccc(c1COc1ccc(cc1)C(N(C)C)=O)Cl,289.762,3.6208,29.54,2
MOSES 7,c1(=O)n(nc(C(=O)N2CCC(CC2)C(N)=O)cc1)CCC,292.339,-0.0092,98.29,2
MOSES 8,Cn1c(c(cn1)CCC(N1CCCCC1CC(OCC)=O)=O)C,321.421,1.99542,64.43,2
MOSES 9,c1cc(CCNC(=O)C2CCCN(C(OC(C)(C)C)=O)C2)cnc1,333.432,2.3874,71.53,2
MOSES 10,CN(C)c1cccc(C(=O)Nc2ccc(CC(=O)N(C)C)cc2)c1,325.412,2.6356,52.65,2
MOSES 11,c1coc(CCNS(=O)(=O)Cc2cc(Cl)ccc2)c1,299.779,2.5951,59.31,2
MOSES 12,c1cc(sc1)CCC(=O)NCc1ccc(cc1)S(=O)(N)=O,324.427,1.6445,89.26,2
