name,smiles,Molecular weight,SLogP,TPSA
MOSES 1,Fc1c(cc(cc1)Cn1c(C)cc(n1)C)Br,283.144,3.44984,17.82
MOSES 2,C(C(C)(CO)C)(c1ccc(cc1)S(=O)(N)=O)c1ccccc1,319.426,2.4844,80.39
MOSES 3,c12OCOc2ccc(c1)OCCN1Cc2nn(C)c(n2CC1)=O,318.333,0.2051,70.75
MOSES 4,c1cccc2OC(COc12)C(=O)Nc1ccc(C)cc1,269.3,2.77352,47.56
MOSES 5,CC(C)(C)c1nc(no1)COc1cc2OCC(=O)Nc2cc1,303.318,2.277,86.48
MOSES 6,c1cccc(c1COc1ccc(cc1)C(N(C)C)=O)Cl,289.762,3.6208,29.54
MOSES 7,c1(=O)n(nc(C(=O)N2CCC(CC2)C(N)=O)cc1)CCC,292.339,-0.0092,98.29
MOSES 8,Cn1c(c(cn1)CCC(N1CCCCC1CC(OCC)=O)=O)C,321.421,1.99542,64.43
MOSES 9,c1cc(CCNC(=O)C2CCCN(C(OC(C)(C)C)=O)C2)cnc1,333.432,2.3874,71.53
MOSES 10,CN(C)c1cccc(C(=O)Nc2ccc(CC(=O)N(C)C)cc2)c1,325.412,2.6356,52.65
MOSES 11,c1coc(CCNS(=O)(=O)Cc2cc(Cl)ccc2)c1,299.779,2.5951,59.31
MOSES 12,c1cc(sc1)CCC(=O)NCc1ccc(cc1)S(=O)(N)=O,324.427,1.6445,89.26
MOSES 13,c1(C(=O)Nc2cc(ccc2)C(=O)NC2CC2)cscc1,286.356,2.8926,58.2
MOSES 14,C(N1CCOCC1)(NCc1ccc(cc1)OCC(F)(F)F)=O,318.295,2.1695,50.8
MOSES 15,O=S(=O)(NCCn1ccnc1)c1c(F)cc(F)cc1F,305.281,1.2789,63.99
MOSES 16,COC(=O)N1CCC(NC(=O)N(C)CC2CC2)CC1,269.345,1.2686,61.88
MOSES 17,CCn1cc(c(n1)C)CN(C)C(=O)C1CC(=O)N(C1)C1CC1,304.394,1.18072,58.44
MOSES 18,CN(CC1CCCC1)c1nn2cc(C)nc2s1,250.371,2.72562,33.43
MOSES 19,C1CCc2c(N1C(COCc1[nH]c3c(n1)cccc3)=O)cccc2,321.38,3.0589,58.22
MOSES 20,N1(CCC(c2[nH]c3cccc(c3n2)C)CC1)S(=O)(c1nc[nH]c1)=O,345.428,2.16272,94.74
