smiles,model_name,mol_idx
Fc1c(cc(cc1)Cn1c(C)cc(n1)C)Br,LiTr_moses_full_75_aug,1
C(C(C)(CO)C)(c1ccc(cc1)S(=O)(N)=O)c1ccccc1,LiTr_moses_full_75_aug,2
c12OCOc2ccc(c1)OCCN1Cc2nn(C)c(n2CC1)=O,LiTr_moses_full_75_aug,3
c1cccc2OC(COc12)C(=O)Nc1ccc(C)cc1,LiTr_moses_full_75_aug,4
CC(C)(C)c1nc(no1)COc1cc2OCC(=O)Nc2cc1,LiTr_moses_full_75_aug,5
c1cccc(c1COc1ccc(cc1)C(N(C)C)=O)Cl,LiTr_moses_full_75_aug,6
c1(=O)n(nc(C(=O)N2CCC(CC2)C(N)=O)cc1)CCC,LiTr_moses_full_75_aug,7
Cn1c(c(cn1)CCC(N1CCCCC1CC(OCC)=O)=O)C,LiTr_moses_full_75_aug,8
c1cc(CCNC(=O)C2CCCN(C(OC(C)(C)C)=O)C2)cnc1,LiTr_moses_full_75_aug,9
CN(C)c1cccc(C(=O)Nc2ccc(CC(=O)N(C)C)cc2)c1,LiTr_moses_full_75_aug,10
c1coc(CCNS(=O)(=O)Cc2cc(Cl)ccc2)c1,LiTr_moses_full_75_aug,11
c1cc(sc1)CCC(=O)NCc1ccc(cc1)S(=O)(N)=O,LiTr_moses_full_75_aug,12
c1(C(=O)Nc2cc(ccc2)C(=O)NC2CC2)cscc1,LiTr_moses_full_75_aug,13
C(N1CCOCC1)(NCc1ccc(cc1)OCC(F)(F)F)=O,LiTr_moses_full_75_aug,14
O=S(=O)(NCCn1ccnc1)c1c(F)cc(F)cc1F,LiTr_moses_full_75_aug,15
COC(=O)N1CCC(NC(=O)N(C)CC2CC2)CC1,LiTr_moses_full_75_aug,16
CCn1cc(c(n1)C)CN(C)C(=O)C1CC(=O)N(C1)C1CC1,LiTr_moses_full_75_aug,17
CN(CC1CCCC1)c1nn2cc(C)nc2s1,LiTr_moses_full_75_aug,18
C1CCc2c(N1C(COCc1[nH]c3c(n1)cccc3)=O)cccc2,LiTr_moses_full_75_aug,19
N1(CCC(c2[nH]c3cccc(c3n2)C)CC1)S(=O)(c1nc[nH]c1)=O,LiTr_moses_full_75_aug,20
CC(NC(=O)c1c(cc(OC)c(OC)c1)NC(C1C(C)C1)=O)C,LiTr_moses_full_75_aug,21
Cc1ccc(CS(=O)(=O)c2ccc(O)cc2)cc1,LiTr_moses_full_75_aug,22
c1ccnc(c1)-c1ccc2c(ccc(c2)-c2c(C(=O)N)ccnc2)n1,LiTr_moses_full_75_aug,23
c1cc(C(F)(F)F)cc(CNCc2n3CCCCc3nn2)c1,LiTr_moses_full_75_aug,24
C(#Cc1ccc(cc1)C(=O)N(CCC)CC(F)F)CO,LiTr_moses_full_75_aug,25
N#Cc1ccc(C(=O)N2CCn3c(nnc3-c3ccccc3)C2)cc1,LiTr_moses_full_75_aug,26
n1(C(c2n[nH]c(c2)-c2ccccc2OC)=O)cc(nn1)C,LiTr_moses_full_75_aug,27
Cc1ccc(C)c(S(N(C)CC(COC)O)(=O)=O)c1,LiTr_moses_full_75_aug,28
C1CN(CCN1C(Cc1sccc1)=O)Cc1c(cccc1)C,LiTr_moses_full_75_aug,29
C(Nc1cc(S(N)(=O)=O)ccc1C)(=O)C(C)Sc1ccccc1,LiTr_moses_full_75_aug,30
CN1C=C(c2[nH]ncc2-c2ccccc2)C(C)(C)C1C(N)=O,LiTr_moses_full_75_aug,31
c1cc(c(cc1)N1CCC(C1=O)NS(=O)(=O)CC)Cl,LiTr_moses_full_75_aug,32
c1cc(C(N(C2CC2)C(C)C)=O)ccc1C(=O)NC(C#N)CCC,LiTr_moses_full_75_aug,33
C(c1sc(CNC(=O)c2cc3sncc3cc2)cc1)C,LiTr_moses_full_75_aug,34
c1(C(=O)NCc2ncccc2)n[nH]c(NC(=O)c2ccccc2)c1,LiTr_moses_full_75_aug,35
