smiles,model_name,mol_idx
Fc1c(cc(cc1)Cn1c(C)cc(n1)C)Br,MOSES sample,1
C(C(C)(CO)C)(c1ccc(cc1)S(=O)(N)=O)c1ccccc1,MOSES sample,2
c12OCOc2ccc(c1)OCCN1Cc2nn(C)c(n2CC1)=O,MOSES sample,3
c1cccc2OC(COc12)C(=O)Nc1ccc(C)cc1,MOSES sample,4
CC(C)(C)c1nc(no1)COc1cc2OCC(=O)Nc2cc1,MOSES sample,5
c1cccc(c1COc1ccc(cc1)C(N(C)C)=O)Cl,MOSES sample,6
c1(=O)n(nc(C(=O)N2CCC(CC2)C(N)=O)cc1)CCC,MOSES sample,7
Cn1c(c(cn1)CCC(N1CCCCC1CC(OCC)=O)=O)C,MOSES sample,8
c1cc(CCNC(=O)C2CCCN(C(OC(C)(C)C)=O)C2)cnc1,MOSES sample,9
CN(C)c1cccc(C(=O)Nc2ccc(CC(=O)N(C)C)cc2)c1,MOSES sample,10
c1coc(CCNS(=O)(=O)Cc2cc(Cl)ccc2)c1,MOSES sample,11
c1cc(sc1)CCC(=O)NCc1ccc(cc1)S(=O)(N)=O,MOSES sample,12
c1(C(=O)Nc2cc(ccc2)C(=O)NC2CC2)cscc1,MOSES sample,13
C(N1CCOCC1)(NCc1ccc(cc1)OCC(F)(F)F)=O,MOSES sample,14
O=S(=O)(NCCn1ccnc1)c1c(F)cc(F)cc1F,MOSES sample,15
COC(=O)N1CCC(NC(=O)N(C)CC2CC2)CC1,MOSES sample,16
CCn1cc(c(n1)C)CN(C)C(=O)C1CC(=O)N(C1)C1CC1,MOSES sample,17
CN(CC1CCCC1)c1nn2cc(C)nc2s1,MOSES sample,18
C1CCc2c(N1C(COCc1[nH]c3c(n1)cccc3)=O)cccc2,MOSES sample,19
N1(CCC(c2[nH]c3cccc(c3n2)C)CC1)S(=O)(c1nc[nH]c1)=O,MOSES sample,20
CC(NC(=O)c1c(cc(OC)c(OC)c1)NC(C1C(C)C1)=O)C,MOSES sample,21
Cc1ccc(CS(=O)(=O)c2ccc(O)cc2)cc1,MOSES sample,22
c1ccnc(c1)-c1ccc2c(ccc(c2)-c2c(C(=O)N)ccnc2)n1,MOSES sample,23
c1cc(C(F)(F)F)cc(CNCc2n3CCCCc3nn2)c1,MOSES sample,24
C(#Cc1ccc(cc1)C(=O)N(CCC)CC(F)F)CO,MOSES sample,25
N#Cc1ccc(C(=O)N2CCn3c(nnc3-c3ccccc3)C2)cc1,MOSES sample,26
n1(C(c2n[nH]c(c2)-c2ccccc2OC)=O)cc(nn1)C,MOSES sample,27
Cc1ccc(C)c(S(N(C)CC(COC)O)(=O)=O)c1,MOSES sample,28
C1CN(CCN1C(Cc1sccc1)=O)Cc1c(cccc1)C,MOSES sample,29
C(Nc1cc(S(N)(=O)=O)ccc1C)(=O)C(C)Sc1ccccc1,MOSES sample,30
CN1C=C(c2[nH]ncc2-c2ccccc2)C(C)(C)C1C(N)=O,MOSES sample,31
c1cc(c(cc1)N1CCC(C1=O)NS(=O)(=O)CC)Cl,MOSES sample,32
c1cc(C(N(C2CC2)C(C)C)=O)ccc1C(=O)NC(C#N)CCC,MOSES sample,33
C(c1sc(CNC(=O)c2cc3sncc3cc2)cc1)C,MOSES sample,34
c1(C(=O)NCc2ncccc2)n[nH]c(NC(=O)c2ccccc2)c1,MOSES sample,35
c1(c(-c2n(nc(c2)C(NC(C)c2ccccc2)=O)C)cccc1)OC,MOSES sample,36
Cc1n[nH]cc1C(=O)NC1CCOc2ccccc21,MOSES sample,37
CCOC(CC(C)CNC(N1C(C2CCCC2)CCC1)=O)=O,MOSES sample,38
N1(C(COC2CCCC2)=O)CCN(CC1)Cc1cccc(c1)Cl,MOSES sample,39
c1c(CCNCc2sc(C)nc2C)cc(cc1)F,MOSES sample,40
C(c1c(cccc1)OCC)(=O)NCc1ccc(cc1)-n1cncn1,MOSES sample,41
C(NS(c1c(cc(F)cc1)F)(=O)=O)C1OCC2N(CCCC2)C1,MOSES sample,42
C(c1ccc(cc1)Cl)C(CO)CNC(=O)CC(F)(F)F,MOSES sample,43
c1ccn(c1)-c1oc(C)c(C(Nc2cc(OC)ccn2)=O)c1C#N,MOSES sample,44
CC(=O)c1cc(NC(=O)c2ccccc2OC(C)C)c(F)cc1F,MOSES sample,45
c12cc(Cl)cc(c1OCCO2)1c2nc[nH]c2nc(n1)N,MOSES sample,46
c1cnc(C(c2cc(cc(c2)Cl)Cl)N)nc1C,MOSES sample,47
Cn1cnc2c(N3CCCC(C(=O)NCC4CC4)C3)ncnc21,MOSES sample,48
c1(c(-c2n(C)c(SCC(c3cn(nc3)C)=O)nn2)cccc1)Cl,MOSES sample,49
c1(=O)c(-c2ccc(Cl)cc2)c[nH]c2c(cncc12)Cl,MOSES sample,50
O=C(C(NC(=O)N)C)N(C(c1ccco1)C)Cc1ccccc1,MOSES sample,51
c1(C2CC2)nc2onc(c2c(C(Nc2cc3OCCc3cc2)=O)c1)CC,MOSES sample,52
C(C)Oc1c(-n2c(SC(C)C(=O)C)nnn2)ccc(c1)C,MOSES sample,53
C(N(C(C(Oc1ccc(cc1)F)C)=O)C(C)C)C(=O)N,MOSES sample,54
C(C(=O)NC(C)C)n1c(c2ccccc2nc1C1CC1)=O,MOSES sample,55
COC(NCC(Nc1cn(nc1)-c1c(cccc1)F)=O)=O,MOSES sample,56
c1(ccsc1C(=O)NC(C(C)(C)C)C#N)-n1cnnn1,MOSES sample,57
CCC(C)OC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1,MOSES sample,58
CC(NC(=O)c1csnn1)c1ccc2c(c1)OCCCO2,MOSES sample,59
N(C(c1c(ccc(C)c1)C)=O)c1sc(c(c1C(N)=O)C)C,MOSES sample,60
COc1ccc(Nc2cc(=O)nc3ccnn23)c(OC)c1,MOSES sample,61
c1(CCN(C)C(=O)Cc2c(C)noc2C)ccc(OC)cc1,MOSES sample,62
c1cc(NC(COc2ccccc2)=O)ccc1C(N)=O,MOSES sample,63
COc1ccc(NC(=O)CCC2CCCC2)cc1-n1cnnn1,MOSES sample,64
c12sc(c(c1c(=O)n(cn2)Cc1ccccc1)C)C,MOSES sample,65
C1N(CCN(C1)C(NCC)=O)c1ccccc1C#N,MOSES sample,66
N#Cc1ccc(Cl)cc1NC(CO)c1ccccc1,MOSES sample,67
O(c1cccc(C)c1)CCC(=O)Nc1noc(c1)C,MOSES sample,68
C1CC1c1n(-c2cccnc2)ncc1C(=O)N1C(CCCC1)C(C)C,MOSES sample,69
c1c(ccc(OC(C)C(OCC(N)=O)=O)c1C)C,MOSES sample,70
COCC(=O)NCC(Nc1cccc(c1)N1CCCCC1)=O,MOSES sample,71
s1c(C)c(C)c2c1nc(nc2SCC(OC)=O)C,MOSES sample,72
n1(cnc2ccccc21)CCCNc1nc(-c2c(cccc2)O)ncc1,MOSES sample,73
c1(NS(c2ccc(C)cc2)(=O)=O)noc(c1)C,MOSES sample,74
C=CCn1nc2ccc(S(=O)(=O)N3CCC(C)CC3)cn2c1=O,MOSES sample,75
