smiles,model_name,mol_idx,descriptor:MW,descriptor:nHeavyAtom,descriptor:TopoPSA,descriptor:SLogP,descriptor:nRot,descriptor:nRing
Fc1c(cc(cc1)Cn1c(C)cc(n1)C)Br,MOSES sample,1,283.144,16,17.82,3.44984,2,2
C(C(C)(CO)C)(c1ccc(cc1)S(=O)(N)=O)c1ccccc1,MOSES sample,2,319.426,22,80.39,2.4844,5,2
c12OCOc2ccc(c1)OCCN1Cc2nn(C)c(n2CC1)=O,MOSES sample,3,318.333,23,70.75,0.2051,4,4
c1cccc2OC(COc12)C(=O)Nc1ccc(C)cc1,MOSES sample,4,269.3,20,47.56,2.77352,2,3
CC(C)(C)c1nc(no1)COc1cc2OCC(=O)Nc2cc1,MOSES sample,5,303.318,22,86.48,2.277,3,3
c1cccc(c1COc1ccc(cc1)C(N(C)C)=O)Cl,MOSES sample,6,289.762,20,29.54,3.6208,4,2
c1(=O)n(nc(C(=O)N2CCC(CC2)C(N)=O)cc1)CCC,MOSES sample,7,292.339,21,98.29,-0.0092,4,2
Cn1c(c(cn1)CCC(N1CCCCC1CC(OCC)=O)=O)C,MOSES sample,8,321.421,23,64.43,1.99542,6,2
c1cc(CCNC(=O)C2CCCN(C(OC(C)(C)C)=O)C2)cnc1,MOSES sample,9,333.432,24,71.53,2.3874,4,2
CN(C)c1cccc(C(=O)Nc2ccc(CC(=O)N(C)C)cc2)c1,MOSES sample,10,325.412,24,52.65,2.6356,5,2
c1coc(CCNS(=O)(=O)Cc2cc(Cl)ccc2)c1,MOSES sample,11,299.779,19,59.31,2.5951,6,2
c1cc(sc1)CCC(=O)NCc1ccc(cc1)S(=O)(N)=O,MOSES sample,12,324.427,21,89.26,1.6445,6,2
c1(C(=O)Nc2cc(ccc2)C(=O)NC2CC2)cscc1,MOSES sample,13,286.356,20,58.2,2.8926,4,3
C(N1CCOCC1)(NCc1ccc(cc1)OCC(F)(F)F)=O,MOSES sample,14,318.295,22,50.8,2.1695,4,2
O=S(=O)(NCCn1ccnc1)c1c(F)cc(F)cc1F,MOSES sample,15,305.281,20,63.99,1.2789,5,2
COC(=O)N1CCC(NC(=O)N(C)CC2CC2)CC1,MOSES sample,16,269.345,19,61.88,1.2686,3,2
CCn1cc(c(n1)C)CN(C)C(=O)C1CC(=O)N(C1)C1CC1,MOSES sample,17,304.394,22,58.44,1.18072,5,3
CN(CC1CCCC1)c1nn2cc(C)nc2s1,MOSES sample,18,250.371,17,33.43,2.72562,3,3
C1CCc2c(N1C(COCc1[nH]c3c(n1)cccc3)=O)cccc2,MOSES sample,19,321.38,24,58.22,3.0589,4,4
N1(CCC(c2[nH]c3cccc(c3n2)C)CC1)S(=O)(c1nc[nH]c1)=O,MOSES sample,20,345.428,24,94.74,2.16272,3,4
CC(NC(=O)c1c(cc(OC)c(OC)c1)NC(C1C(C)C1)=O)C,MOSES sample,21,320.389,23,76.66,2.4365,6,2
Cc1ccc(CS(=O)(=O)c2ccc(O)cc2)cc1,MOSES sample,22,262.33,18,54.37,2.67452,3,2
c1ccnc(c1)-c1ccc2c(ccc(c2)-c2c(C(=O)N)ccnc2)n1,MOSES sample,23,326.359,25,81.76,3.4577,3,4
c1cc(C(F)(F)F)cc(CNCc2n3CCCCc3nn2)c1,MOSES sample,24,310.323,22,42.74,2.923,4,3
C(#Cc1ccc(cc1)C(=O)N(CCC)CC(F)F)CO,MOSES sample,25,281.302,20,40.54,2.1477,5,1
N#Cc1ccc(C(=O)N2CCn3c(nnc3-c3ccccc3)C2)cc1,MOSES sample,26,329.363,25,74.81,2.47278,2,4
n1(C(c2n[nH]c(c2)-c2ccccc2OC)=O)cc(nn1)C,MOSES sample,27,283.291,21,85.69,1.67372,3,3
Cc1ccc(C)c(S(N(C)CC(COC)O)(=O)=O)c1,MOSES sample,28,287.381,19,66.84,0.93124,6,1
C1CN(CCN1C(Cc1sccc1)=O)Cc1c(cccc1)C,MOSES sample,29,314.454,22,23.55,2.94342,4,3
